folder_name,title,no,jenis_kejadian,lokasi_kejadian_desa_kecamatan,lokasi_kejadian_dusun_rt_rw,koordinat_text,latitude,longitude,waktu_kejadian,jam_kejadian,kronologi_kondisi_umum,dampak_bangunan_fisik,dampak_jiwa_luka,dampak_pengungsian,penanganan,tim_terlibat,saran_tl,nara_sumber,petugas_bpbd,keterangan_lain,media_links
JANUARI - FEBRUARI 2024,02 Tanah Longsor Pekandangan Banjarmangu,02,Tanah Longsor,Pekandangan Banjarmangu,RT04 RW01,"-7.3191909, 109.6782349",-7.3191909,109.6782349,03 Januari 2024,,,Beberapa rumah terancam longsor,NIHIL,NIHIL,PELAPORAN,,,Kades Pekandangan melalui,,,
JANUARI - FEBRUARI 2024,04 Tanah longsor Aribaya,04,Tanah longsor,"Aribaya
Kecamatan Pagentan",Pringamba rt05/03,"-7.3349702, 109.753826",-7.3349702,109.753826,Jumat Tgl : 05 januari 2024,: 17.00 WIB,Hujan intensitas lebat terjadi di seputar desa aribaya . terjadi tanah longsor yang mendampak rumah warga.,"rumah warga retak dan amblas. AN;  nurdiyanto narwan, ny binem dan wartono",0,0,Pelaporan dan asesmen.,,buat pengungsian,Pemerintah Desa Aribaya,,,"https://mymaps.usercontent.google.com/hostedimage/m/*/3AE5a_GweHJM4Y1hmS3KV4ZvsXC5mkfzLnCCrvXwmN05RSuqNcJMFtL7oxjcf7vrbxLoN_gzfsyikgqgCaj50qATGQ3N821HcoQEf3AjCKQieSLpaC71GNvY32Ygys-n_qT7aKF2jk3PTtoNNSBEBMooh8GR97u1jtE1tKYrjjOpmlbblD3KeiL96HE-ylMYqNr6lpYZoaZylX23dmm5kyM8owBYJAR2LtAIJ_F_AEyO5TZ81PYHYJWthzemeea8?fife=s16383, https://mymaps.usercontent.google.com/hostedimage/m/*/3AE5a_GxkKA-FaybMJ8F4tHVtIqkEsio9uE4uLduYHOkOpQ4gaNmICM1nUKUB1w3J9Va5utjg3pfOYGT1IPRj2gqiRDeBXbo5chQmoFHh0RSGEZcScWZWkFF5XaPHxxUptGlhxJEK_FfCElK9Fir7gwI6BkzIj4hU1rEmQ4QTflqrYn_g-HmIyvNsJ_6mejD-9Cym_WcZ8VRij46Cdkempww9XhoC9kPnh1Ydu2C0go__QP5irNSZ8VqzZlA_1J0?fife=s16383"
JANUARI - FEBRUARI 2024,05 Tanah longsor sawal sigaluh,05,Tanah longsor,Sawal Kec. Sigaluh,Duren Sawit RT 01 RW 04,"-7.4329937, 109.7844104",-7.4329937,109.7844104,: Sabtu 6 januari 2024,07.00 WIB,"Hujan dengan intensitas lebat di hari Jumat, 5 Januari 2024 pada wilayah Banjarnegara khususnya Sigaluh mengakibatkan tanah mengalami longsor",1 Rumah mengalami kerusakan bagian dapur. Rumah milik Bpak Suroso Duren Sawit RT 01 RW 04,0,0,"- Melaporkan kejadian kepada pihak terkait
- Cek Lokasi","- Destana sawal 
- DAMKAR Banjarnegara
- PEMDES Desa Sawal
- Warga Masyaraka",,"RIZA (DAMKAR BNA)
+62 852-1560-5175",,,https://mymaps.usercontent.google.com/hostedimage/m/*/3AE5a_Gw4m-AHxgnXFjHJW-ey4V3fZAFp1bNdygAXDpfXQqVKdMliU023tDipMLxASjGM_DJmxIJEqm2MWJh5NOCwXM4k20hxsR_C6ssZLC4XzWgoPVR8AQHwwRvtKoHQXhwrvxpqFK9ZXif1gCo4ojMMZBA9BGs8CGtYY-tCziNEgD_vlEp6VCB9G-VdUWsVrvRXoaZ4wJvo27XnaEv9jR76ni_TevZsicfIKdlIo1b37MpUX92CP_EsYR3ehjM?fife=s16383
JANUARI - FEBRUARI 2024,07 Tanah Longsor   Karangtengah,07,Tanah Longsor,"Karangtengah 
Kec.Banjarnegara",Kedung Salam RT 02 RW 03,"-7.4074587, 109.6826599",-7.4074587,109.6826599,"Sabtu 
Tgl     :  6 Januari 2024",13:15 Wib,- Hujan dengan intensitas Ringan-Sedang Mengguyur Wilayah Banjarnegara Mengakibatkan debit sungai belimbing naik dan menggerus Tanah pemukiman.Dengan panjang --+13 Meter  Dan tinggi -+ 7 Meter Dan Mengancam Pondasi rumah milik bapak Markuat(77) 2 KK 6 Jiwa.,Pondasi rumah milik bapak Markuat Terancam Tergerus Aliran Sungai,0,0,"a.Assesment
b.  menyarankan untuk memindahkan saluran air pembuangan
c.Koordinasi dengan pemdes untuk pengajuan Bronjong kepada dinas terkait.
d.Menghimbau kepada Pemilik rumah  untuk selalu waspada. DISTRIBUSI BANTUAN-","BPBD, Warga Masyarakat Sekitar.",-,-Warga Masyarakat Sekitar.,"- Agus Susilo
- Akhmad Arifin
- Widia Dwi Kurniawan","JENIS LOGISTIK
 BPBD 
1 Paket Logistik Permakan 
-Beras 5 kg
-Gula Pasir 1 kg
-Mie Instan 2 Dus
-Kopi 10 Bungkus
-Teh 1 pack
-Sarden 2 Kaleng
1 Lembar Terpal","https://mymaps.usercontent.google.com/hostedimage/m/*/3AE5a_GzObdIDprlEcSbqno3gBVn44RwwnJI8vP3BC4VGtnbJb-bjWP2lori15iUYiHkR9-Zzmd1ZrPT6gMX_iizIlG44SXa1Vwbnr5qfedYDbeoMVBCL40zKJM8urb8ebIFpw1d4zAq6gxdjz0WjBBlVx4iWEAMGCdsv8JLcwkR8QycERQ4fhPQ2ODXdvXLZxXik_Ent3907sT9dTzC0QAWHQ017DvGLdAdWCThDdHbasIYgJzs8464XBLBNvlY?fife=s16383, https://mymaps.usercontent.google.com/hostedimage/m/*/3AE5a_Gw6vPqlNs7xbSMKqQFxZkOAfF_jj8CTn61d_fky5GF2H59P1g5mL1mUFBaBKKmrKKmnuflvSe9BLACdquCAyOgV2_2igzV_itJr950J3sTtmrmNb7S4Uvsx353sA6SaNn_C3_JaOzQmkEPIpPsUgPu1pkinSlnB2iI2YR2_Y50EdDYoN8FQhiIPAnkQxmBZSXHRBTkpBVa3bL8j50va2aDFdNUDfj4z4U791tsMohMiaAZSqYF00pAvszY?fife=s16383"
JANUARI - FEBRUARI 2024,08  Tanah longsor  Argasoka (tepi jalan Kabupaten),,Tanah longsor,Argasoka,"RT. 04 RW. 01 Wanasari,","-7.4143706, 109.6970666",-7.4143706,109.6970666,"Sabtu 
Tgl     :  6 Januari 2024",14.00 WIB,Hujan dengan intensitas Ringan-Sedang Mengguyur Wilayah Banjarnegara Mengakibatkan tebing setinggi 5 meter dengan panjang 5 meter longsor dan menutup sebagian jalan,Tanah menutup jalan,0,0,warga menyingkirkan tanah yg menutup Jalan,"- TNI
- BPBD Banjarnegara 
- Pemerintah Kelurahan Argasoka
- Warga Masyarakat Sekitar.",,Lurah Argasoka,- Khafid Nur Bahtyar,,https://mymaps.usercontent.google.com/hostedimage/m/*/3AE5a_GyOwkzeUHAWVr8FTfpQsUB1VtyEZc-STmN7vp5AIbzwvNFI8cBOq7wT2xNGROM9espO4zKy3tMCExOce9bCZ42-PchE9y93jb84EgGSIw7QJh3yASCkb3dQrRVSwHF6KBgm277pxofpyP11lfuHge9v3AmNHclkkLJPibjcUGiuV88o_Jheq2Bh0roS9mstboImaSyHCgLCGUUjIkrTAzK0kGDCs0p2PdJc3ytPHCvUWVJgKRmpahCK4Q4?fife=s16383
JANUARI - FEBRUARI 2024,09 Tanah longsor JOLANG BANDINGAN,,Tanah longsor,Desa Bandingan kec Rakit,Dukuh Jolang Rt 03/03,"-7.4163145, 109.5345558",-7.4163145,109.5345558,Sabtu 06 Januar,15.30 wib,"Hujan dengan intensitas Ringan-Sedang Mengguyur Wilayah Banjarnegara Mengakibatkan tebing setinggi 6 meter dengan panjang 5 meter longsor dan menimpa dinding rumah a.n Martomo, dimana diatas tebing tersebut terdapat kolam ikan dengan panjang 4 dan lebar 4 meter.","Mengancam rumah Warga
Menimbun kolam ikan",0,0,"Pelaporana. Assesment
b. Kerjabakti masyarakat sekitar pembersihan material longsor
c. Pengeringan kolam 
c. Koordinasi dengan Pemdes","- BPBD Banjarnegara 
- Pemerintah Desa Bandingan
- Warga Masyarakat Sekitar.",,Admin medsos Banjatnegara terkini,"- Arif Supriyadi 
- Khafid Nur Bahtyar",,https://mymaps.usercontent.google.com/hostedimage/m/*/3AE5a_GwDzwdPf0yypDoyYokgWIVgzwwsA47nkipKK5qOvV2AdT90Qe1OIp98IlTxzfvuPgMWPTXQhdsweCPNKgNHRD88-e4N1DeFUZM1nQVi-gUjT9IaXrCFJG6n5_imapfJwO_zlnMqg1g3EapzIqltmiUvI0-jFRw5sl4G920vU-Ohrq5Wm4iaStYOFvtBaXB344OimC1sUQkY7M1UU-aYT32EyhGn8fys5LLXRuuLEC50Uw_P7ivF-HJC8YY?fife=s16383
JANUARI - FEBRUARI 2024,13 tanah longsor jembangan,,Tanah Longsor,,,"-7.3110099, 109.5867266",-7.3110099,109.5867266,,,"Kamis 11 Januari 2024

IJIN MELAPORKAdN : 

*JENIS KEJADIAN
Tanah longsor 
Titik

1.tabing lonsor menimpa ruas jalan kabupaten penghubung punggelan jembangan bertepat di dusun tenggalar.lokasi kemarin.( Sudah bisa di lalui kendaraan roda 2 maupun 4 tapi tetap berhati-hati )

2.tebing longsor menimpa jalan desa penghubung jembangan ke kec rembang Purbalingga ketebalan 1.5 meter lebar 15.meter.untuk kendaraan roda dua dan empat total tidak bisa di lalui.lokasi dusun jembangan RT 02 RW 02

3.longsor menimpa garasi mobil dan samping rumah milik sodara Rahman RT 02 RW 01.

4.pohon tumbang menimpa rumah milik p Rohman dusun blimbing RT 03 RW 04(sudah di eksekusi namun di lanjutkan besok pagi.

LOKASI KEJADIAN
Desa jembangan 

WAKTU KEJADIAN
Kamis 11 Januari 2024
Pukul .15.00 WIB

KRONOLOGI
Hujan yg sangat lebat menguyur wilayah desa jembangan kecamatan punggelan Banjarnegara sehingga mengakibatkan tanah longsor dan pohon tumbang 

KORBAN JIWA
,-nihil 

KERUGIAN.
1 rumaah p Rohman dusun tenggalar 
Skitar.1 ,5jt(atap dan tembok) rusak ringan

2.P Rohman dusun blimbing RT 03 RW 04
( Atap ) rusak ringan 

SARAN TINDAK LANJUT
- Assessment yg di lakukan oleh forum destana Banjarnegara dan akan di laksanakan giat kerja bakti besok 
KEBUTUHAN MENDESAK

1.seng kaso ( untuk pak Rahman )
 2.Permakanaan +untuk kerja bakti 
3 Alkon 

SUMBER INFORMASI
Jarwadi 

UNSUR TERLIBAT

Pemdes jembangan 

Demikian info awal kami sampaikan untuk menjadi periksa. 

*PETUGAS ASESMEEN

Jarwadi",,,,DISTRIBUSI LOGISTIK,,,,"- Daryoto
- Ryo Ramadhan Nur R T","BPBD
- 8 batang kayu kaso
- 10 Lembar seng
- 1 paket permakanan dan 1 dus mie instant

PMI
- 1 Paket permakanan","https://mymaps.usercontent.google.com/hostedimage/m/*/3AE5a_GxZYvUxg480l9AiikiuoC8DntW4MkRUWq2n-lxQ0OyCW77bT0136eJ89OU23abgEgXMPJQcJaklH0RnYuVzJe_Lr2jd0JUxbh_9aQ9UiRCwnDbdNUi5RCXCdLX0hv3CEJYPo2QxtjJ94snvOju3OWN-sEsE6a0zhPUzL7PXPL1cOyPQFpvzz8dBMPhxMaBodcEIihl0BWgKqaBHZG39-7br0PciuH-CcRk_HIVKYKNtONky8tQtOLmoelI?fife=s16383, https://mymaps.usercontent.google.com/hostedimage/m/*/3AE5a_GxeWqFs7GxxdrTob9JE_-e4AjXda2MIDfJ5DsJ3TTzkwT_430O6Sxt-GtcJPRJl3C7YF_IyT4sjC-U1I_gZE30Mdua6jXW2XAwYXI7zjxhXB53ri_fpoXISi_U5bES_ZLhFhUm9YFujB6wec3vSOlHu2eLu_-xt-0vkJHRf0hF9B0wBprmDrkkDYFKmawQXA6WMGHgsmP3Zli2mQ2MNLwDSE7WVz1ae_-DVkGVptG6Ae_3nChBVa-4Odak?fife=s16383, https://mymaps.usercontent.google.com/hostedimage/m/*/3AE5a_GxtpztwDdrngwmjds_-VF5EPWBNLzl7EGYowZk2ivK5Fs9SUmWq6BgFeMbBSBYbMOaEeZiRshqk9V3YPTD3iZBc0hHsQjQqC6MoPP962uLHXsxwn5UEMoB3Vd_RmV-o8k1XVitgDHgw5ZnmmuWbdJCi542GWTgJcT6i3jNfVLXPZbIRdhbhsv2UK5bqG110pX7nptKgjJP5xYVkMLwBJeQoSyNVoZwtYttufyoRzMJw1ATQq0XWDY_-74c?fife=s16383"
JANUARI - FEBRUARI 2024,14 tanah longsor punggelan,,Tanah Longsor,,,"-7.3511866, 109.5823003",-7.3511866,109.5823003,,,"*JENIS KEJADIAN
Tanah longsor + tanah bergerak 

tanah bergerak dan longsor mengakibatkan tembok + lantai rumah warga sejumlah 5 rumah di lingkungan dukuh pencit RT 2 RW 10 dusun jebug desa punggelan retak retak dan miring sehingga membahayakan untuk di huni

Rumah terdampak : 
1.rumah bapak Riyanto 48 thn (. tembok dan lante retak retak 7 jiwa )
2.rumah bapak Rusmo 45 thn 6 jiwa (sebelah samping tertimpa longsor an)
3.rumah ibu Mulyati 35 th 3 jiwa (terncam
4.rumah ibu Tarmuji80 tht 1 jiwa (r terancam)



LOKASI KEJADIAN
Desa punggelan 
Dusun jebug
RT 2 RW 10
Dukuh pencit 
WAKTU KEJADIAN
Kamis 11 Januari 2024
Pukul 14.30 WIB

KRONOLOGI
Hujan yg sangat lebat menguyur wilayah desa punggelan kecamatan punggelan Banjarnegara sehingga mengakibatkan tanah longsor dan tanah bergerak 

KORBAN JIWA
,-nihil 

KERUGIAN.
4 rumah' terdampak di atas
( tembok + lantai + atap) rusak



TINDAK LANJUT
- akan di laksanakan giat kerja bakti besok 
KEBUTUHAN MENDESAK
 Permakanan untuk kerja bakti 


SUMBER INFORMASI
Pemdes punggelan 


Demikian info awal kami sampaikan untuk menjadi periksa.

PETUGAS ASESMEN 
Jarwadi",,,,CEK LOKASI DAN DISTRIBUSI LOGISTIK,,,,"- Daryoto
- Ryo Ramadhan NR","BPBD Banjarnegara 
- Logistik Permakanan (4 Paket)
- Mie instant (4 Dus) 
- Kayu kaso 8 batang
- Triplek 10 lembar
■ PMI Banjarnegara
- Logistik Permakanan (4 paket)","https://mymaps.usercontent.google.com/hostedimage/m/*/3AE5a_GxN1MnLRm_rjXJrvpNmZqaETJlLC0Uv3vCG4CK_5LnjODtNZGDeU2Uso2yetXUyEF0SSYjSoDBx5Q4fpcC6XQryHt0tMdtgOEOOD9_ytdXrg2uRocuKB4z19hz7TDD8LCRhDmJNpQn3y0BuvJCGTi8FJ8wx80Lkn3iSf5W8PWqBVVFnMfsr97EfXwjY3XQwBbzi2YdrB42P8dJzzCTsS96LmUdbByVRwyfqG6cFpVuqEKQ_pgX61fEZRqw?fife=s16383, https://mymaps.usercontent.google.com/hostedimage/m/*/3AE5a_GwA7fw8ByinsotXRY54M378KXf0zS9ZLz3G6TKabpW4MxXvYF3lYUjg-Gmub6NRMGC35TI3J_fK4MrRFMsu-DR6DA0-yKSHTUWtYeCNyD8QI7A4HmUR_TiXCyJ13Fx4DC65pyPDm1lmx3wQDJcxj2j1Ymuj_nN10D-YHyAZg1veuUtwbf_BoEjF-8w7MVQ56FeOAH1b3gijUqs228uqZY9vSXvDdnc0lEgtrrFruolMJfKPVevM13_ehKk?fife=s16383"
JANUARI - FEBRUARI 2024,16 Tanah longsor Sijeruk,,Tanah longsor,Sijeruk,Rt 02/03 Dusun Gunungraja,"-7.3214007, 109.7081281",-7.3214007,109.7081281,Kamis 11 Januari 2024,18.00 wib,"- Pada Hari Kamis 11 Januari 2024 Hujan intensitas lebat terjadi di wilayah Banjarmangu 
- Terjadi tanah longsor di dusun Gunungraja desa sijeruk kec. Banjarmangu","- Talud penahan bangunan amblas -+ 2 m
- Rumah warga mengalami kerusakan.    1. AN. Salami 80Thn /5 jiwa ( Rusak pada bagian Dapur dan blandar patah.)
2. AN. Suwandi 57 thn / 3 jiwa (Rusak pada bagian kamar tidur)",0,0,distribusi logistik,warga dan BPBD,,,PARWOTO,,"https://mymaps.usercontent.google.com/hostedimage/m/*/3AE5a_Gz8wKmPKtNpDBcDU5CDZHPsbhZTjxvCLShBNMV6VhRot9mYCW0gap-aoz986--rkSiNq02xOfkQqouEl8xFOxt0ZsxOPoFdLtnZEmm43jVqNbvpYlYriKtqqiqVnkoti9qjbQYYO22tT8WTi2e09ukxdqxO7Sg3XqJM6XU0rLvTqd6FB_4rV20x_EozndnOmnyWFQb1xFLkQFMnkKuvYtptWkxtJBuBy3ZhlGp_FW5s_jvLxPms7AXwPkk?fife=s16383, https://mymaps.usercontent.google.com/hostedimage/m/*/3AE5a_Gxy6RpontWJer2R3kiP6XG0-c9W8nPyFViq7xlnBxFsh6iQNjzphXI2YbNG4BaII6NPnIr1BFDJDlZw1cslW-ajwHZjt3929ZeIsf2b98zmDXErnwpQ_WLTKhEiZJIamt5uqUHV4m2pOjk3KDaOlpmrfn__KwrUjebHRmnK4kpYDahNN2kCRYWN5ns64ZIRdNQjEG1DFkiWLOyUEYKabonMAPQS0P15wC7xbRA0m6M1T7YzDnJrKfoS84k?fife=s16383"
JANUARI - FEBRUARI 2024,17 Tanah Longsor Gumpang,,Tanah Longsor,Tlaga Kec. Punggelan.,Gumpang RT 02 RW 0 1,"-7.3044556, 109.6509149",-7.3044556,109.6509149,"Senin, 1 Januari 2024",19.30 WIB,"Hujan deras yang mengguyur wilayah Dusun Gumpang Desa Tlaga Kec. Punggelan, mengakibatkan lahan perkebunan longsor dan mengancam 4 rumah warga","1. Rumah Bpk Wasmin (39th)
Sartinah (28)
Bagus (12)
Abraham (1,5 th)
================= Mengungsi 1 KK 4 Jiwa 

2. Rumah Bpk Dasno (40)
Suyati (35)
Imam (21)
Amin (12)
Aan (8)

3. Rumah Bpk Warjo (55)
Sumiati (47)
Barno (30)
Aji (27)

4. Rumah Bpk Harjo (64)
Suwatmi (55)
Teguh (30)",0,0,"1. Cek lokasi kejadian
2. Himbauan kepada warga untuk selalu waspada dan berhati-hati saat curah hujan tinggi dan mengungsi sewaktu waktu 
3. Survei lokasi rencana relokasi mandiri  DISTRIBUSI BANTUAN",BPBD,,,Suprihno,,"https://mymaps.usercontent.google.com/hostedimage/m/*/3AE5a_Gz1QGj1_ApEIELfOJDwfP4qE64nqSEZaHCUjBHJAb1xWj65Iobyw8uAtVUs6GV1SXL4ljooDCmZJXdLbppcByXkq2bSyym5JboCFMFBIO4J7Xj1SpYaviVTJX2KZ3AHKU3lhKEpJ-VQJ2E5LmtQkRVGuZ2nfFkNendqG4CgYqZOZFeeZG_Cmat0fbUhbzmLLTGvCbH2x6DEmYc7hZRJ9cdA72VCCzww1NNvjQtxam413r4JwUkM6gHhR_Q?fife=s16383, https://mymaps.usercontent.google.com/hostedimage/m/*/3AE5a_Gz23Tz_oZIibYwT6BasulMVzjz_XIkDmjcD38n1Ujpd7UKEfnzpjZRS5WpjSvx9egHdFV1AxWmJTWZ3CYOeCqrxnvBwu7xPINFWfJyoZ-iy8hljTCitZDM1h2uO56mBn1q-u1CjhG6R_zNqthpuAON1qDQzm6ocER6XVQSB19bgdM2vPc-sl7OnhYFQxB7fg4KkdQ1lIBzMwd-YwhknnfYQfyQID9onJHg48gnJNL3orZkj6HWLPWoAitk?fife=s16383"
